A_11,B_11,C_11,D_11,From Bus  Number,To Bus  Number
(0.9306164152301133+0.0020699973245761963j),(0.29028494176871444+20.17498181742101j),(9.541130299140413e-05+0.0066411494330078855j),(0.9306164152301133+0.0020699973245761963j),2135,2220
(0.9306164152301133+0.0020699973245761963j),(0.29028494176871444+20.17498181742101j),(9.541130299140413e-05+0.0066411494330078855j),(0.9306164152301133+0.0020699973245761963j),2135,2220
(-0.018558191768428885+0.03048010109091696j),(-0.05285861681521205+94.11022562066927j),(-6.049454018675855e-06+0.010632053459096309j),(-0.018558191768428885+0.03048010109091696j),2135,2400
(-0.018558191768428885+0.03048010109091696j),(-0.05285861681521205+94.11022562066927j),(-6.049454018675855e-06+0.010632053459096309j),(-0.018558191768428885+0.03048010109091696j),2135,2400
(-0.2266165778975833-0.01615753111003337j),(-0.22147156458214734-57.25684851104355j),(-6.379448921787784e-05-0.016573041405097133j),(-0.2266165778975833-0.01615753111003337j),2135,2970
(-0.2266165778975833-0.01615753111003337j),(-0.22147156458214734-57.25684851104355j),(-6.379448921787784e-05-0.016573041405097133j),(-0.2266165778975833-0.01615753111003337j),2135,2970
(0.9573580654261442-0.0077980794446864555j),(0.67271996252757-7.593173693875895j),(0.0009840957413049564-0.011087375167599608j),(0.9573580654261442-0.0077980794446864555j),2220,2225
(0.9573580654261442-0.0077980794446864555j),(0.67271996252757-7.593173693875895j),(0.0009840957413049564-0.011087375167599608j),(0.9573580654261442-0.0077980794446864555j),2220,2225
(-0.007088178643644051-0.01254974854901186j),(-0.00475955169494217-45.510973838621574j),(-1.6110003132598232e-06-0.021975079353962017j),(-0.007088178643644051-0.01254974854901186j),2220,2230
(-0.007088178643644051-0.01254974854901186j),(-0.00475955169494217-45.510973838621574j),(-1.6110003132598232e-06-0.021975079353962017j),(-0.007088178643644051-0.01254974854901186j),2220,2230
(0.823281811357819-0.01095626688271271j),(1.1033558677162334-39.468012183700054j),(0.00022859676879420583-0.008173183918059247j),(0.823281811357819-0.01095626688271271j),2220,2570
(0.823281811357819-0.01095626688271271j),(1.1033558677162334-39.468012183700054j),(0.00022859676879420583-0.008173183918059247j),(0.823281811357819-0.01095626688271271j),2220,2570
(-0.856277085618669+0.03446506223806777j),(-3.6702474547761508+33.7308452928472j),(-0.0008750229546944924+0.008039790926594938j),(-0.856277085618669+0.03446506223806777j),2220,2691
(-0.856277085618669+0.03446506223806777j),(-3.6702474547761508+33.7308452928472j),(-0.0008750229546944924+0.008039790926594938j),(-0.856277085618669+0.03446506223806777j),2220,2691
(0.4022782005086111+0.002663536513930245j),(0.005059524223312621+3.807703522347943j),(0.00027030054295552826+0.2201276193104478j),(0.4022782005086111+0.002663536513930245j),2222,2300
(-0.6790963701804212+0.006842034254752415j),(-0.2112841228090768+24.588250819746964j),(-0.00018960129740948304+0.021917581577275934j),(-0.6790963701804212+0.006842034254752415j),2230,2240
(0.15739819724180873+0.0038800096993451224j),(0.011302328038164377+14.598343702437088j),(3.1946220896521244e-05+0.06680492273134757j),(0.15739819724180873+0.0038800096993451224j),2240,2250
(0.04360475858031564-0.0521453040078834j),(0.11477877057238112-50.99896295187063j),(4.500297024708617e-05-0.01962437793273038j),(0.04360475858031564-0.0521453040078834j),2245,2280
