From Bus Number,To Bus Number,A,B,C,D
(2135+0j),(2220+0j),(0.9306164152301132+0.002069997324576195j),(0.14514247088435725+10.087490908710503j),(0.00019082260598280825+0.013282298866015771j),(0.9306164152301132+0.002069997324576195j)
(2135+0j),(2400+0j),(-0.01855819176842888+0.030480101090916957j),(-0.026429308407606027+47.05511281033463j),(-1.209890803735171e-05+0.021264106918192617j),(-0.01855819176842888+0.030480101090916957j)
(2135+0j),(2970+0j),(-0.22661657789758327-0.01615753111003337j),(-0.11073578229107367-28.628424255521775j),(-0.0001275889784357557-0.033146082810194266j),(-0.22661657789758327-0.01615753111003337j)
(2220+0j),(2225+0j),(0.9573580654261443-0.007798079444686456j),(0.3363599812637851-3.796586846937947j),(0.0019681914826099127-0.022174750335199216j),(0.9573580654261443-0.007798079444686456j)
(2220+0j),(2230+0j),(-0.007088178643644051-0.01254974854901186j),(-0.0023797758474710853-22.755486919310783j),(-3.2220006265196464e-06-0.043950158707924035j),(-0.007088178643644051-0.01254974854901186j)
(2220+0j),(2570+0j),(0.8232818113578189-0.010956266882712706j),(0.5516779338581167-19.734006091850024j),(0.00045719353758841166-0.016346367836118494j),(0.8232818113578189-0.010956266882712706j)
(2220+0j),(2691+0j),(-0.856277085618669+0.034465062238067785j),(-1.835123727388075+16.8654226464236j),(-0.0017500459093889849+0.016079581853189875j),(-0.856277085618669+0.034465062238067785j)
(2222+0j),(2300+0j),(0.4022782005086111+0.002663536513930245j),(0.005059524223312621+3.807703522347943j),(0.00027030054295552826+0.2201276193104478j),(0.4022782005086111+0.002663536513930245j)
(2230+0j),(2240+0j),(-0.6790963701804212+0.006842034254752415j),(-0.2112841228090768+24.588250819746964j),(-0.00018960129740948304+0.021917581577275934j),(-0.6790963701804212+0.006842034254752415j)
(2240+0j),(2250+0j),(0.15739819724180873+0.0038800096993451224j),(0.011302328038164377+14.598343702437088j),(3.1946220896521244e-05+0.06680492273134757j),(0.15739819724180873+0.0038800096993451224j)
(2245+0j),(2280+0j),(0.043604758580315636-0.0521453040078834j),(0.05738938528619055-25.49948147593532j),(9.000594049417234e-05-0.03924875586546076j),(0.043604758580315636-0.0521453040078834j)
(2245+0j),(2705+0j),(-1.00006979543022+0.00021595270542747172j),(-0.5257263668888038+0.38263916288206157j),(-0.0005644266019900885+0.00041079132983800357j),(-1.00006979543022+0.00021595270542747172j)
(2280+0j),(2281+0j),(0.8208958616424711+0.007267001188483865j),(0.23560073251007965+12.875412842364177j),(0.000462917279972189+0.025342244267398416j),(0.8208958616424711+0.007267001188483865j)
(2300+0j),(2570+0j),(-0.7042676062721339-0.010921397704461183j),(-0.114725899308686-7.485446885959618j),(-0.0010226334363130295-0.06736321102885481j),(-0.7042676062721339-0.010921397704461183j)
(2305+0j),(2306+0j),(0.6508006807184109+0.0014317767794028331j),(0.0015572683891328881+0.8281880957921253j),(0.000941407893432094+0.6960520115114578j),(0.6508006807184109+0.0014317767794028331j)
(2305+0j),(2350+0j),(-0.9584376334947722-0.0028064258373147995j),(-0.10672154186587308-3.232443244996745j),(-0.0008318735542832007-0.02521125705189403j),(-0.9584376334947722-0.0028064258373147995j)
(2306+0j),(2580+0j),(0.9069092278545539+0.004153117415591905j),(0.15623494448659928+7.358184128327388j),(0.000511237855642318+0.024138125784424223j),(0.9069092278545539+0.004153117415591905j)
(2307+0j),(2580+0j),(0.8906923089338261+0.004423320761675599j),(0.1524889814503807+7.991634068821621j),(0.0004923144453230642+0.025872286859037648j),(0.8906923089338261+0.004423320761675599j)
(2560+0j),(2570+0j),(-0.8153951302859311+0.009427990108092699j),(-0.36385451607855585+15.925315660536116j),(-0.0004842666352660992+0.021060547762756534j),(-0.8153951302859311+0.009427990108092699j)
(2561+0j),(2570+0j),(-0.8153951302859311+0.009427990108092699j),(-0.36385451607855585+15.925315660536116j),(-0.0004842666352660992+0.021060547762756534j),(-0.8153951302859311+0.009427990108092699j)
(2561+0j),(2970+0j),(-0.9948622196086663-0.0013123393069028036j),(-0.18266173084916393-1.456597667901853j),(-0.0008960446283555237-0.007149921712774314j),(-0.9948622196086663-0.0013123393069028036j)
(2570+0j),(2580+0j),(-0.030314068923250108-0.02766414041585532j),(-0.012321651348715969-13.466093104363871j),(-5.6612721567974594e-05-0.0742492311395402j),(-0.030314068923250108-0.02766414041585532j)
(2580+0j),(2830+0j),(0.2131723085176301+0.009357245576885134j),(0.03510617881400749+16.578449363974148j),(0.00011870023526028257+0.0575837505112051j),(0.2131723085176301+0.009357245576885134j)
(2691+0j),(2705+0j),(-0.24340224411355582+0.042783070551458184j),(-0.4608441784666174+41.83172351794751j),(-0.00024960996724159956+0.022535546965501654j),(-0.24340224411355582+0.042783070551458184j)
(2705+0j),(2810+0j),(-0.6430529389718501-0.022496153378324675j),(-0.7017380515551893-28.48420743508913j),(-0.0005077400660335218-0.020620032923843387j),(-0.6430529389718501-0.022496153378324675j)
(2810+0j),(2815+0j),(0.049254328299051485+0.011294913578795208j),(0.02581796199418494+45.99991169986936j),(1.2014707378341528e-05+0.021689213295047548j),(0.049254328299051485+0.011294913578795208j)
(2815+0j),(2830+0j),(-0.9999011575105164-0.0004589175367019092j),(-0.46914204447996183-0.5810641896382283j),(-0.0007896866601409441-0.0009781381107417766j),(-0.9999011575105164-0.0004589175367019092j)
